name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangalore,2022-02-23,30.2,17.9,23.5,29.0,17.9,23.3,14.4,61.5,0.0,0,0.0,,0,0,37.1,18.3,98.8,1017.9,20.9,6.5,288.8,24.8,10,10.0,2022-02-23T06:38:47,2022-02-23T18:27:27,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-24,29.3,16.0,22.5,27.9,16.0,22.2,11.4,56.2,0.0,0,0.0,,0,0,37.1,18.3,109.4,1019.0,15.7,6.3,298.9,25.7,10,10.0,2022-02-24T06:38:17,2022-02-24T18:27:39,0.75,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-25,30.9,15.0,23.1,28.9,15.0,22.6,8.7,48.9,0.0,0,0.0,,0,0,28.8,17.8,82.8,1018.0,12.6,6.5,300.1,25.9,10,10.0,2022-02-25T06:37:47,2022-02-25T18:27:51,0.81,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-26,29.9,16.0,23.0,28.2,16.0,22.6,11.1,55.0,0.0,0,0.0,,0,0,29.2,21.8,89.8,1017.8,12.5,5.8,299.6,26.0,10,10.0,2022-02-26T06:37:17,2022-02-26T18:28:02,0.84,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-27,29.9,16.9,23.3,28.7,16.9,23.0,13.3,58.9,0.0,0,0.0,,0,0,29.5,14.7,85.9,1018.0,15.2,6.5,294.6,25.5,10,10.0,2022-02-27T06:36:45,2022-02-27T18:28:13,0.88,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-02-28,30.4,16.0,23.7,28.6,16.0,23.2,10.4,48.1,0.0,0,0.0,,0,0,26.6,14.8,98.8,1017.6,4.1,7.1,299.1,25.8,10,10.0,2022-02-28T06:36:13,2022-02-28T18:28:23,0.91,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-01,31.8,17.0,24.3,31.4,17.0,24.0,12.0,51.5,0.0,0,0.0,,0,0,32.8,20.0,91.9,1017.6,24.8,6.9,294.0,25.5,10,10.0,2022-03-01T06:35:41,2022-03-01T18:28:33,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-02,30.2,16.5,23.4,28.3,16.5,22.9,4.1,33.2,0.0,0,0.0,,0,0,38.9,22.3,101.0,1017.4,42.0,7.4,294.5,25.4,10,10.0,2022-03-02T06:35:07,2022-03-02T18:28:42,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-03,30.7,15.0,22.9,28.8,15.0,22.4,7.5,41.2,0.0,0,0.0,,0,0,46.1,25.0,79.9,1016.9,20.8,6.7,292.7,25.2,10,10.0,2022-03-03T06:34:34,2022-03-03T18:28:51,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
bangalore,2022-03-04,31.5,17.0,24.0,29.4,17.0,23.5,8.3,39.6,0.0,0,0.0,,0,0,43.6,20.7,68.3,1016.6,31.0,7.7,302.5,26.3,10,10.0,2022-03-04T06:33:59,2022-03-04T18:28:59,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
